cluster.index	canopus_superclass	canopus_class	canopus_subclass	canopus_level5	canopus_most_specific_class
205924	Lipids and lipid-like molecules	Fatty Acyls	Fatty amides	N-acyl amines	N-acyl amines
258350	Organoheterocyclic compounds	Heteroaromatic compounds	unclassified	unclassified	Heteroaromatic compounds
153139	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Peptides	Peptides
2592	Organoheterocyclic compounds	Heteroaromatic compounds	unclassified	unclassified	Heteroaromatic compounds
134809	Organoheterocyclic compounds	Imidazopyrimidines	Purines and purine derivatives	6-aminopurines	6-aminopurines
57302	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Alpha amino acid amides
218584	Organohalogen compounds	Aryl halides	Aryl fluorides	unclassified	Aryl fluorides
198943	Organoheterocyclic compounds	Diazanaphthalenes	Benzodiazines	unclassified	Benzodiazines
78256	Organoheterocyclic compounds	Heteroaromatic compounds	unclassified	unclassified	Heteroaromatic compounds
18468	Benzenoids	Benzene and substituted derivatives	Halobenzenes	Fluorobenzenes	Fluorobenzenes
142486	Organic oxygen compounds	Organooxygen compounds	Alcohols and polyols	unclassified	Alcohols and polyols
145824	Organic oxygen compounds	Organooxygen compounds	Ethers	Diarylethers	Diarylethers
24289	Organic oxygen compounds	Organooxygen compounds	Alcohols and polyols	unclassified	Alcohols and polyols
119538	Organohalogen compounds	Alkyl halides	Alkyl chlorides	unclassified	Alkyl chlorides
228187	Organoheterocyclic compounds	unclassified	unclassified	unclassified	Organoheterocyclic compounds
5013	Benzenoids	Benzene and substituted derivatives	Trifluoromethylbenzenes	unclassified	Trifluoromethylbenzenes
239216	Benzenoids	Benzene and substituted derivatives	unclassified	unclassified	Benzene and substituted derivatives
94149	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Amino acids
73340	Lipids and lipid-like molecules	Fatty Acyls	Fatty amides	N-acyl amines	N-acyl amines
5081	Organic acids and derivatives	Boronic acid derivatives	Boronic acids	unclassified	Boronic acids
11163	Organoheterocyclic compounds	Diazinanes	Piperazines	N-alkylpiperazines	N-alkylpiperazines
1953	Organosulfur compounds	Sulfonyls	unclassified	unclassified	Sulfonyls
12351	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Peptides	Peptides
3172	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Peptides	Peptides
206504	Organoheterocyclic compounds	Azoles	unclassified	unclassified	Azoles
13720	Organic acids and derivatives	Boronic acid derivatives	Boronic acids	unclassified	Boronic acids
160029	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Amino acids and derivatives
77481	Organosulfur compounds	Thioethers	Dialkylthioethers	unclassified	Dialkylthioethers
24981	Organoheterocyclic compounds	Azoles	Imidazoles	unclassified	Imidazoles
218041	Benzenoids	Benzene and substituted derivatives	Halobenzenes	Chlorobenzenes	Chlorobenzenes
16258	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Amino acids and derivatives
207055	Organoheterocyclic compounds	Azoles	unclassified	unclassified	Azoles
13403	unclassified	unclassified	unclassified	unclassified	unclassified
198989	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Glycosyl compounds	Phenolic glycosides
12903	Benzenoids	Phenol ethers	unclassified	unclassified	Phenol ethers
