cluster.index	canopus_superclass	canopus_class	canopus_subclass	canopus_level5	canopus_most_specific_class
178481	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Amino acids
29546	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Peptides	Oligopeptides
20735	Organohalogen compounds	Aryl halides	Aryl fluorides	unclassified	Aryl fluorides
83938	Organic acids and derivatives	Carboxylic acids and derivatives	Carboxylic acid derivatives	unclassified	Carboxylic acid derivatives
123493	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Glycosyl compounds	O-glycosyl compounds
138213	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Alpha amino acids and derivatives
38139	Benzenoids	Benzene and substituted derivatives	Halobenzenes	Fluorobenzenes	Fluorobenzenes
27208	Organic nitrogen compounds	Organonitrogen compounds	Amines	unclassified	Amines
115032	Organic salts	Organic metal salts	Organic metalloid salts	unclassified	Organic metalloid salts
85376	Organoheterocyclic compounds	Diazines	Pyrimidines and pyrimidine derivatives	Pyrimidones	Pyrimidones
2446	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Amino acids and derivatives
8568	Organic 1,3-dipolar compounds	Allyl-type 1,3-dipolar organic compounds	Organic nitro compounds	C-nitro compounds	Nitroaromatic compounds
24658	Organic acids and derivatives	Organic carbonic acids and derivatives	unclassified	unclassified	Organic carbonic acids and derivatives
2561	Organoheterocyclic compounds	Diazinanes	Piperazines	N-alkylpiperazines	N-alkylpiperazines
72351	Phenylpropanoids and polyketides	Cinnamic acids and derivatives	Hydroxycinnamic acids and derivatives	Coumaric acids and derivatives	Coumaric acids and derivatives
2373	Lipids and lipid-like molecules	unclassified	unclassified	unclassified	Lipids and lipid-like molecules
193068	Benzenoids	unclassified	unclassified	unclassified	Benzenoids
23604	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Peptides	Dipeptides
2186	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Amino acids and derivatives
276101	Benzenoids	Benzene and substituted derivatives	unclassified	unclassified	Benzene and substituted derivatives
18282	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Amino acids and derivatives
105777	Benzenoids	Phenol ethers	unclassified	unclassified	Phenol ethers
26666	Organoheterocyclic compounds	Diazines	Pyrazines	unclassified	Pyrazines
173971	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Amino acids and derivatives
35062	Organoheterocyclic compounds	Azoles	unclassified	unclassified	Azoles
3920	Organohalogen compounds	Aryl halides	Aryl fluorides	unclassified	Aryl fluorides
54695	Benzenoids	Benzene and substituted derivatives	unclassified	unclassified	Benzene and substituted derivatives
115133	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Peptides	Peptides
53820	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Peptides	Peptides
37013	Phenylpropanoids and polyketides	Flavonoids	Hydroxyflavonoids	4'-hydroxyflavonoids	4'-hydroxyflavonoids
259308	Organohalogen compounds	Aryl halides	Aryl fluorides	unclassified	Aryl fluorides
34389	Organoheterocyclic compounds	Azoles	unclassified	unclassified	Azoles
73692	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	N-acyl-alpha amino acids and derivatives
32903	Organoheterocyclic compounds	Azoles	unclassified	unclassified	Azoles
140198	Phenylpropanoids and polyketides	Flavonoids	Flavones	unclassified	Flavones
24186	Organic nitrogen compounds	Organonitrogen compounds	unclassified	unclassified	Organonitrogen compounds
2051	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Alpha amino acids and derivatives
172949	Organoheterocyclic compounds	Azoles	unclassified	unclassified	Azoles
130186	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Amino acids and derivatives
139594	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Amino acids and derivatives
233092	Organoheterocyclic compounds	Azoles	unclassified	unclassified	Azoles
117864	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Histidine and derivatives
85671	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Amino acids and derivatives
21316	unclassified	unclassified	unclassified	unclassified	unclassified
8075	Organic nitrogen compounds	Organonitrogen compounds	Amines	Tertiary amines	Dialkylarylamines
69427	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Peptides	Peptides
2877	Organic acids and derivatives	Carboxylic acids and derivatives	unclassified	unclassified	Carboxylic acids and derivatives
77541	Organoheterocyclic compounds	Azoles	unclassified	unclassified	Azoles
18230	Benzenoids	Phenol ethers	Anisoles	unclassified	Anisoles
39402	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Peptides	Peptides
13487	Organoheterocyclic compounds	Azacyclic compounds	unclassified	unclassified	Azacyclic compounds
143424	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	Benzoic acids	Benzoic acids
65331	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Amino acids and derivatives
110674	Organoheterocyclic compounds	Azoles	unclassified	unclassified	Azoles
60869	Organoheterocyclic compounds	Heteroaromatic compounds	unclassified	unclassified	Heteroaromatic compounds
3493	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Amino acids and derivatives
18599	Organoheterocyclic compounds	Heteroaromatic compounds	unclassified	unclassified	Heteroaromatic compounds
239548	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Glycosyl compounds	O-glycosyl compounds
8216	Benzenoids	Benzene and substituted derivatives	Halobenzenes	Fluorobenzenes	Fluorobenzenes
189365	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Alpha amino acids and derivatives
163441	Organic nitrogen compounds	Organonitrogen compounds	Amines	Primary amines	Monoalkylamines
50380	Organoheterocyclic compounds	Heteroaromatic compounds	unclassified	unclassified	Heteroaromatic compounds
3127	Organohalogen compounds	Aryl halides	unclassified	unclassified	Aryl halides
19580	Organoheterocyclic compounds	Heteroaromatic compounds	unclassified	unclassified	Heteroaromatic compounds
200049	Organoheterocyclic compounds	Heteroaromatic compounds	unclassified	unclassified	Heteroaromatic compounds
20368	Benzenoids	Benzene and substituted derivatives	Phenoxy compounds	unclassified	Phenoxy compounds
