cluster.index	canopus_superclass	canopus_class	canopus_subclass	canopus_level5	canopus_most_specific_class
80301	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	Hydroxybenzoic acid derivatives	Galloyl esters
34872	Phenylpropanoids and polyketides	Flavonoids	Flavonoid glycosides	Flavonoid O-glycosides	Flavonoid-3-O-glycosides
140070	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Glycosyl compounds	Phenolic glycosides
19187	Benzenoids	unclassified	unclassified	unclassified	Benzenoids
172120	Benzenoids	Phenols	Benzenediols	Catechols	Catechols
65518	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	Hydroxybenzoic acid derivatives	Gallic acid and derivatives
23005	Lipids and lipid-like molecules	Steroids and steroid derivatives	Steroidal glycosides	unclassified	Steroidal glycosides
19683	Phenylpropanoids and polyketides	Flavonoids	Flavonoid glycosides	Flavonoid O-glycosides	Flavonoid-7-O-glycosides
12794	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Long-chain fatty acids	Long-chain fatty acids
22450	Lipids and lipid-like molecules	Sphingolipids	unclassified	unclassified	Sphingolipids
70441	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Monosaccharides	Monosaccharides
210980	Nucleosides, nucleotides, and analogues	(5'->5')-dinucleotides	unclassified	unclassified	(5'->5')-dinucleotides
1071	Benzenoids	Benzene and substituted derivatives	Halobenzenes	Chlorobenzenes	Dichlorobenzenes
79845	unclassified	unclassified	unclassified	unclassified	unclassified
78537	Lipids and lipid-like molecules	Saccharolipids	unclassified	unclassified	Saccharolipids
34525	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides	Fatty acyl glycosides of mono- and disaccharides
61856	Phenylpropanoids and polyketides	2-arylbenzofuran flavonoids	unclassified	unclassified	2-arylbenzofuran flavonoids
143933	Lignans, neolignans and related compounds	Lignan glycosides	unclassified	unclassified	Lignan glycosides
61646	Lignans, neolignans and related compounds	unclassified	unclassified	unclassified	Lignans, neolignans and related compounds
35800	Benzenoids	Benzene and substituted derivatives	Styrenes	unclassified	Styrenes
34404	Organic oxygen compounds	Organooxygen compounds	Alcohols and polyols	Secondary alcohols	Secondary alcohols
