cluster.index	canopus_superclass	canopus_class	canopus_subclass	canopus_level5	canopus_most_specific_class
130216	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Alpha amino acids and derivatives
56933	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	N-acyl-alpha amino acids and derivatives
155242	Organic oxygen compounds	Organooxygen compounds	Alcohols and polyols	Tertiary alcohols	Tertiary alcohols
9965	Lipids and lipid-like molecules	Fatty Acyls	unclassified	unclassified	Fatty Acyls
210721	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Monosaccharides	Hexoses
6464	Phenylpropanoids and polyketides	Cinnamic acids and derivatives	Hydroxycinnamic acids and derivatives	Coumaric acids and derivatives	Coumaric acids and derivatives
9458	Lipids and lipid-like molecules	Saccharolipids	unclassified	unclassified	Saccharolipids
71370	Benzenoids	Benzene and substituted derivatives	Halobenzenes	Chlorobenzenes	Dichlorobenzenes
136259	Lipids and lipid-like molecules	Prenol lipids	Diterpenoids	unclassified	Diterpenoids
55678	Phenylpropanoids and polyketides	Flavonoids	Hydroxyflavonoids	5-hydroxyflavonoids	5-hydroxyflavonoids
5493	Phenylpropanoids and polyketides	Flavonoids	Biflavonoids and polyflavonoids	unclassified	Biflavonoids and polyflavonoids
144341	Nucleosides, nucleotides, and analogues	Purine nucleotides	Purine ribonucleotides	Purine ribonucleoside monophosphates	Purine ribonucleoside monophosphates
51955	Lipids and lipid-like molecules	Prenol lipids	Sesquiterpenoids	unclassified	Sesquiterpenoids
40131	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Halogenated fatty acids	Halogenated fatty acids
171888	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Peptides	Peptides
85576	Benzenoids	Benzene and substituted derivatives	Phenoxy compounds	unclassified	Phenoxy compounds
4039	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Disaccharides	Disaccharides
61377	Organohalogen compounds	Alkyl halides	Alkyl fluorides	Perfluoroalkyl carboxylic acid and derivatives	Perfluoroalkyl carboxylic acid and derivatives
180619	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	Benzoic acid esters	Benzoic acid esters
210933	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Alpha amino acids and derivatives
13595	Benzenoids	Phenols	1-hydroxy-2-unsubstituted benzenoids	unclassified	1-hydroxy-2-unsubstituted benzenoids
59562	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	Hydroxybenzoic acid derivatives	Galloyl esters
43552	Lipids and lipid-like molecules	Fatty Acyls	Lineolic acids and derivatives	unclassified	Lineolic acids and derivatives
12617	Benzenoids	Benzene and substituted derivatives	unclassified	unclassified	Benzene and substituted derivatives
34835	Lipids and lipid-like molecules	Fatty Acyls	Lineolic acids and derivatives	unclassified	Lineolic acids and derivatives
218969	Phenylpropanoids and polyketides	Flavonoids	Flavans	Flavan-3-ols	Catechins
99244	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	unclassified	Triterpenoids
208508	Phenylpropanoids and polyketides	Cinnamic acids and derivatives	Hydroxycinnamic acids and derivatives	Hydroxycinnamic acid esters	Coumaric acid esters
49861	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Peptides	Peptides
108744	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl glycosides	Alkyl glycosides	Alkyl glycosides
161865	Phenylpropanoids and polyketides	Tannins	Proanthocyanidins	B-type proanthocyanidins	B-type proanthocyanidins
6364	Organoheterocyclic compounds	Heteroaromatic compounds	unclassified	unclassified	Heteroaromatic compounds
46787	Phenylpropanoids and polyketides	Phenylpropanoic acids	unclassified	unclassified	Phenylpropanoic acids
62954	Phenylpropanoids and polyketides	Flavonoids	Flavonoid glycosides	Flavonoid O-glycosides	Flavonoid O-glycosides
35875	Organic nitrogen compounds	Organonitrogen compounds	N-arylamides	N-acetylarylamines	N-acetylarylamines
86994	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	Hydroxybenzoic acid derivatives	Galloyl esters
93736	Organoheterocyclic compounds	Benzopyrans	1-benzopyrans	unclassified	1-benzopyrans
175505	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Amino acids and derivatives
35771	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	N-acyl-L-alpha-amino acids
35987	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Monosaccharides	Hexoses
16336	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides	Fatty acyl glycosides of mono- and disaccharides
243670	Benzenoids	Phenol ethers	unclassified	unclassified	Phenol ethers
44282	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	unclassified	Triterpenoids
12619	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Long-chain fatty acids	Long-chain fatty acids
70223	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	Hydroxybenzoic acid derivatives	Gallic acid and derivatives
32227	Phenylpropanoids and polyketides	Diarylheptanoids	Linear diarylheptanoids	unclassified	Linear diarylheptanoids
148939	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Disaccharides	Disaccharides
154076	Benzenoids	unclassified	unclassified	unclassified	Benzenoids
26016	Phenylpropanoids and polyketides	Flavonoids	Flavonoid glycosides	Flavonoid O-glycosides	Flavonoid-3-O-glycosides
13781	Benzenoids	Benzene and substituted derivatives	Halobenzenes	Fluorobenzenes	Fluorobenzenes
87279	Lipids and lipid-like molecules	Prenol lipids	Terpene glycosides	Diterpene glycosides	Diterpene glycosides
32098	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	Benzoic acid esters	Benzoic acid esters
44714	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Alpha amino acids
50288	Benzenoids	Phenols	1-hydroxy-2-unsubstituted benzenoids	unclassified	1-hydroxy-2-unsubstituted benzenoids
35689	Lipids and lipid-like molecules	Fatty Acyls	Fatty acid esters	unclassified	Fatty acid esters
11791	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Glycosyl compounds	Phenolic glycosides
182086	unclassified	unclassified	unclassified	unclassified	unclassified
41107	Benzenoids	Benzene and substituted derivatives	unclassified	unclassified	Benzene and substituted derivatives
61596	Organoheterocyclic compounds	Heteroaromatic compounds	unclassified	unclassified	Heteroaromatic compounds
89172	Lipids and lipid-like molecules	Saccharolipids	unclassified	unclassified	Saccharolipids
147621	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Peptides	Oligopeptides
751	Organohalogen compounds	Alkyl halides	Alkyl fluorides	Perfluoroalkyl carboxylic acid and derivatives	Perfluoroalkyl carboxylic acid and derivatives
22475	Lipids and lipid-like molecules	Fatty Acyls	Lineolic acids and derivatives	unclassified	Lineolic acids and derivatives
13890	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Long-chain fatty acids	Long-chain fatty acids
10507	Lipids and lipid-like molecules	Glycerolipids	Diradylglycerols	unclassified	Diradylglycerols
7452	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	N-acyl-alpha amino acids and derivatives
37045	Phenylpropanoids and polyketides	Cinnamic acids and derivatives	Hydroxycinnamic acids and derivatives	Hydroxycinnamic acid esters	Coumaric acid esters
27540	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Glycosyl compounds	Phenolic glycosides
162294	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	N-acyl-alpha amino acids
190198	Benzenoids	Phenol ethers	Anisoles	unclassified	Anisoles
1596	Benzenoids	Benzene and substituted derivatives	Nitrobenzenes	unclassified	Nitrobenzenes
57639	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Peptides	Oligopeptides
173977	Lipids and lipid-like molecules	Fatty Acyls	Fatty amides	N-acyl amines	N-acyl amines
18295	Lipids and lipid-like molecules	Fatty Acyls	Lineolic acids and derivatives	unclassified	Lineolic acids and derivatives
196203	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	unclassified	Benzoic acids and derivatives
110013	Phenylpropanoids and polyketides	Flavonoids	Flavonoid glycosides	Flavonoid O-glycosides	Flavonoid-3-O-glycosides
109620	Benzenoids	Benzene and substituted derivatives	Halobenzenes	unclassified	Halobenzenes
87343	Benzenoids	Phenols	1-hydroxy-2-unsubstituted benzenoids	unclassified	1-hydroxy-2-unsubstituted benzenoids
14892	unclassified	unclassified	unclassified	unclassified	unclassified
45527	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Monosaccharides	Hexoses
34888	Lipids and lipid-like molecules	Steroids and steroid derivatives	Hydroxysteroids	14-hydroxysteroids	14-hydroxysteroids
36023	Organic 1,3-dipolar compounds	Allyl-type 1,3-dipolar organic compounds	Organic nitro compounds	C-nitro compounds	Nitroaromatic compounds
156843	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	Hydroxybenzoic acid derivatives	Gallic acid and derivatives
95074	Benzenoids	Phenols	1-hydroxy-2-unsubstituted benzenoids	unclassified	1-hydroxy-2-unsubstituted benzenoids
205217	Organic acids and derivatives	Carboxylic acids and derivatives	Dicarboxylic acids and derivatives	unclassified	Dicarboxylic acids and derivatives
61119	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Amino acids and derivatives
6430	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	N-acyl-L-alpha-amino acids
184837	Lipids and lipid-like molecules	Prenol lipids	Terpene glycosides	unclassified	Terpene glycosides
52359	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Amino acids and derivatives
211527	Organoheterocyclic compounds	Diazines	Pyrimidines and pyrimidine derivatives	Aminopyrimidines and derivatives	Aminopyrimidines and derivatives
196247	Benzenoids	Benzene and substituted derivatives	unclassified	unclassified	Benzene and substituted derivatives
144803	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	N-acyl-alpha amino acids
123812	Lipids and lipid-like molecules	Steroids and steroid derivatives	Pregnane steroids	Gluco/mineralocorticoids, progestogins and derivatives	Gluco/mineralocorticoids, progestogins and derivatives
94426	Benzenoids	Phenols	1-hydroxy-2-unsubstituted benzenoids	unclassified	1-hydroxy-2-unsubstituted benzenoids
44164	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Monosaccharides	Hexoses
35473	Benzenoids	Phenols	1-hydroxy-2-unsubstituted benzenoids	unclassified	1-hydroxy-2-unsubstituted benzenoids
186314	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Peptides	Peptides
35293	Organic acids and derivatives	Organic phosphoric acids and derivatives	Phosphate esters	Alkyl phosphates	Alkyl phosphates
20391	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	Hydroxybenzoic acid derivatives	Galloyl esters
9808	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Amino acids
112251	Phenylpropanoids and polyketides	Flavonoids	Hydroxyflavonoids	4'-hydroxyflavonoids	4'-hydroxyflavonoids
97999	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Glycosyl compounds	Phenolic glycosides
11979	Lipids and lipid-like molecules	Saccharolipids	unclassified	unclassified	Saccharolipids
37303	Benzenoids	Benzene and substituted derivatives	Halobenzenes	Chlorobenzenes	Chlorobenzenes
110015	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl glycosides	unclassified	Fatty acyl glycosides
75677	Benzenoids	Phenols	unclassified	unclassified	Phenols
121721	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphates	Diacylglycerophosphates	1,2-diacylglycerol-3-phosphates
34488	Phenylpropanoids and polyketides	Flavonoids	Flavonoid glycosides	Flavonoid O-glycosides	Flavonoid-3-O-glycosides
15967	Benzenoids	Benzene and substituted derivatives	Benzenesulfonyl compounds	unclassified	Benzenesulfonyl compounds
60451	Benzenoids	Benzene and substituted derivatives	Halobenzenes	Chlorobenzenes	Chlorobenzenes
89990	Benzenoids	unclassified	unclassified	unclassified	Benzenoids
137311	Phenylpropanoids and polyketides	Flavonoids	Flavonoid glycosides	Flavonoid O-glycosides	Flavonoid-3-O-glycosides
34348	Phenylpropanoids and polyketides	Flavonoids	Biflavonoids and polyflavonoids	unclassified	Biflavonoids and polyflavonoids
25731	Lipids and lipid-like molecules	Fatty Acyls	Fatty acid esters	unclassified	Fatty acid esters
9450	Organic oxygen compounds	Organooxygen compounds	Alcohols and polyols	Cyclic alcohols and derivatives	Quinic acids and derivatives
15056	Lipids and lipid-like molecules	Fatty Acyls	Fatty acid esters	unclassified	Fatty acid esters
92859	Lipids and lipid-like molecules	Fatty Acyls	Fatty amides	unclassified	Fatty amides
23366	Phenylpropanoids and polyketides	Tannins	unclassified	unclassified	Tannins
34612	Lipids and lipid-like molecules	Sphingolipids	Glycosphingolipids	unclassified	Glycosphingolipids
46807	Organic oxygen compounds	Organooxygen compounds	Alcohols and polyols	Cyclic alcohols and derivatives	Quinic acids and derivatives
178082	Phenylpropanoids and polyketides	Flavonoids	Hydroxyflavonoids	unclassified	Hydroxyflavonoids
23716	Lipids and lipid-like molecules	Fatty Acyls	Lineolic acids and derivatives	unclassified	Lineolic acids and derivatives
69831	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	Hydroxybenzoic acid derivatives	Galloyl esters
86121	Lipids and lipid-like molecules	Fatty Acyls	Lineolic acids and derivatives	unclassified	Lineolic acids and derivatives
10072	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	unclassified	Triterpenoids
186257	Organic acids and derivatives	Carboxylic acids and derivatives	Dicarboxylic acids and derivatives	unclassified	Dicarboxylic acids and derivatives
79003	Phenylpropanoids and polyketides	Flavonoids	Biflavonoids and polyflavonoids	unclassified	Biflavonoids and polyflavonoids
13625	Organoheterocyclic compounds	Heteroaromatic compounds	unclassified	unclassified	Heteroaromatic compounds
176565	Phenylpropanoids and polyketides	Flavonoids	Biflavonoids and polyflavonoids	unclassified	Biflavonoids and polyflavonoids
147534	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Glycosyl compounds	O-glycosyl compounds
12759	Nucleosides, nucleotides, and analogues	Purine nucleosides	Purine 2'-deoxyribonucleosides	unclassified	Purine 2'-deoxyribonucleosides
3359	Organic acids and derivatives	Carboxylic acids and derivatives	Carboxylic acid derivatives	Carboxylic acid amides	Secondary carboxylic acid amides
201324	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Amino acids
34563	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Oligosaccharides	Oligosaccharides
32608	Benzenoids	Benzene and substituted derivatives	Phenoxides	unclassified	Phenoxides
43647	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Peptides	Gamma-glutamyl peptides
202567	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	N-acyl-alpha amino acids and derivatives
35188	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Amino acids
35211	Benzenoids	Phenols	Cresols	unclassified	Cresols
79360	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Alpha amino acids and derivatives
26651	Lipids and lipid-like molecules	Fatty Acyls	Fatty acid esters	unclassified	Fatty acid esters
100555	Benzenoids	Phenol ethers	Anisoles	unclassified	Anisoles
34030	Phenylpropanoids and polyketides	Flavonoids	Flavonoid glycosides	Flavonoid O-glycosides	Flavonoid-3-O-glycosides
50905	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Long-chain fatty acids	Long-chain fatty acids
79263	Lipids and lipid-like molecules	Fatty Acyls	unclassified	unclassified	Fatty Acyls
120891	Organic oxygen compounds	Organooxygen compounds	Alcohols and polyols	Cyclic alcohols and derivatives	Quinic acids and derivatives
34443	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Peptides	Oligopeptides
61810	Phenylpropanoids and polyketides	Flavonoids	Flavonoid glycosides	Flavonoid O-glycosides	Flavonoid-3-O-glycosides
122657	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Hydroxy fatty acids	Hydroxy fatty acids
80191	Organic oxygen compounds	Organooxygen compounds	Alcohols and polyols	Tertiary alcohols	Tertiary alcohols
34946	Lipids and lipid-like molecules	Prenol lipids	Sesquiterpenoids	Abscisic acids and derivatives	Abscisic acids and derivatives
83718	Phenylpropanoids and polyketides	Flavonoids	Flavonoid glycosides	Flavonoid O-glycosides	Flavonoid-3-O-glycosides
35488	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Beta amino acids and derivatives
41361	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Halogenated fatty acids	Halogenated fatty acids
94451	Benzenoids	Benzene and substituted derivatives	Benzenesulfonic acids and derivatives	unclassified	Benzenesulfonic acids and derivatives
208892	unclassified	unclassified	unclassified	unclassified	unclassified
37778	Benzenoids	Benzene and substituted derivatives	Halobenzenes	Fluorobenzenes	Fluorobenzenes
144136	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Glycosyl compounds	Phenolic glycosides
8324	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Peptides	Peptides
89752	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Amino acids and derivatives
104819	Benzenoids	Phenol ethers	unclassified	unclassified	Phenol ethers
63622	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Monosaccharides	Hexoses
171989	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Alpha amino acids and derivatives
23987	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Medium-chain fatty acids	Medium-chain fatty acids
69492	Organic oxygen compounds	Organooxygen compounds	Alcohols and polyols	Cyclic alcohols and derivatives	Quinic acids and derivatives
35012	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphates	unclassified	Glycerophosphates
40888	Benzenoids	Phenols	unclassified	unclassified	Phenols
73038	Phenylpropanoids and polyketides	Cinnamic acids and derivatives	Hydroxycinnamic acids and derivatives	Coumaric acids and derivatives	Coumaric acids and derivatives
49891	Organic acids and derivatives	Organic sulfuric acids and derivatives	Sulfuric acid esters	Sulfuric acid monoesters	Sulfuric acid monoesters
35351	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Glycosyl compounds	Phenolic glycosides
206486	Organic acids and derivatives	Organic phosphoric acids and derivatives	Phosphate esters	Alkyl phosphates	Alkyl phosphates
35649	Phenylpropanoids and polyketides	Flavonoids	Flavonoid glycosides	Flavonoid O-glycosides	Flavonoid-3-O-glycosides
85816	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	N-acyl-alpha amino acids
28136	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Medium-chain fatty acids	Medium-chain fatty acids
51002	Lipids and lipid-like molecules	Fatty Acyls	Lineolic acids and derivatives	unclassified	Lineolic acids and derivatives
87643	Benzenoids	unclassified	unclassified	unclassified	Benzenoids
45407	Benzenoids	Benzene and substituted derivatives	Phenoxy compounds	unclassified	Phenoxy compounds
43700	Benzenoids	Benzene and substituted derivatives	Benzenesulfonyl compounds	unclassified	Benzenesulfonyl compounds
17236	Lipids and lipid-like molecules	Fatty Acyls	unclassified	unclassified	Fatty Acyls
9510	Organic acids and derivatives	Carboxylic acids and derivatives	Tricarboxylic acids and derivatives	unclassified	Tricarboxylic acids and derivatives
34980	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Disaccharides	Disaccharides
20727	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	unclassified	Triterpenoids
23644	Benzenoids	Phenols	Methoxyphenols	unclassified	Methoxyphenols
23044	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphoinositols	Lysophosphatidylinositols	Lysophosphatidylinositols
82398	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Peptides	Peptides
34760	Benzenoids	Phenols	1-hydroxy-2-unsubstituted benzenoids	unclassified	1-hydroxy-2-unsubstituted benzenoids
86731	Organic 1,3-dipolar compounds	Allyl-type 1,3-dipolar organic compounds	Organic nitro compounds	C-nitro compounds	Nitroaromatic compounds
226822	Phenylpropanoids and polyketides	Flavonoids	Hydroxyflavonoids	4'-hydroxyflavonoids	4'-hydroxyflavonoids
36438	Phenylpropanoids and polyketides	Macrolactams	unclassified	unclassified	Macrolactams
58958	unclassified	unclassified	unclassified	unclassified	unclassified
34508	Benzenoids	Phenols	1-hydroxy-2-unsubstituted benzenoids	unclassified	1-hydroxy-2-unsubstituted benzenoids
82992	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	unclassified	Triterpenoids
79996	Lipids and lipid-like molecules	Fatty Acyls	Fatty acid esters	unclassified	Fatty acid esters
36260	Benzenoids	Phenols	Benzenediols	unclassified	Benzenediols
99423	Lipids and lipid-like molecules	Prenol lipids	Terpene glycosides	unclassified	Terpene glycosides
13443	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Glycosyl compounds	Phenolic glycosides
23492	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides	Fatty acyl glycosides of mono- and disaccharides
18689	Benzenoids	Benzene and substituted derivatives	Trifluoromethylbenzenes	unclassified	Trifluoromethylbenzenes
3800	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Alpha amino acids and derivatives
184825	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Long-chain fatty acids	Long-chain fatty acids
51187	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Alpha amino acids and derivatives
59744	Phenylpropanoids and polyketides	Flavonoids	Flavonoid glycosides	Flavonoid O-glycosides	Flavonoid-3-O-glycosides
82946	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	Hydroxybenzoic acid derivatives	Galloyl esters
92923	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	unclassified	Triterpenoids
14154	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Amino acids and derivatives
85269	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	unclassified	Triterpenoids
32233	Phenylpropanoids and polyketides	Flavonoids	Biflavonoids and polyflavonoids	unclassified	Biflavonoids and polyflavonoids
113905	Benzenoids	Benzene and substituted derivatives	Phenoxy compounds	unclassified	Phenoxy compounds
207414	Organoheterocyclic compounds	Indoles and derivatives	Indoles	unclassified	Indoles
6641	Benzenoids	unclassified	unclassified	unclassified	Benzenoids
77981	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	N-acyl-L-alpha-amino acids
12906	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl glycosides	Alkyl glycosides	Alkyl glycosides
96273	Lipids and lipid-like molecules	Prenol lipids	Diterpenoids	unclassified	Diterpenoids
185658	Lipids and lipid-like molecules	Prenol lipids	Terpene glycosides	Triterpene glycosides	Triterpene saponins
130940	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	Hydroxybenzoic acid derivatives	Gallic acid and derivatives
92858	Organoheterocyclic compounds	Isoindoles and derivatives	Isoindolines	unclassified	Isoindolines
119914	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Peptides	Dipeptides
220993	Benzenoids	Benzene and substituted derivatives	Benzenesulfonamides	unclassified	Benzenesulfonamides
35837	Phenylpropanoids and polyketides	Cinnamic acids and derivatives	Hydroxycinnamic acids and derivatives	Coumaric acids and derivatives	Coumaric acids and derivatives
61670	Benzenoids	Benzene and substituted derivatives	Trifluoromethylbenzenes	unclassified	Trifluoromethylbenzenes
8948	Phenylpropanoids and polyketides	Coumarins and derivatives	Hydroxycoumarins	unclassified	Hydroxycoumarins
125516	Lipids and lipid-like molecules	Fatty Acyls	unclassified	unclassified	Fatty Acyls
35354	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Amino acids and derivatives
130203	Lignans, neolignans and related compounds	unclassified	unclassified	unclassified	Lignans, neolignans and related compounds
21410	Benzenoids	Phenols	Benzenediols	Resorcinols	Resorcinols
78532	unclassified	unclassified	unclassified	unclassified	unclassified
47098	unclassified	unclassified	unclassified	unclassified	unclassified
143869	Nucleosides, nucleotides, and analogues	Purine nucleosides	unclassified	unclassified	Purine nucleosides
48872	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids	unclassified	Eicosanoids
6530	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Alpha amino acids and derivatives
76034	Phenylpropanoids and polyketides	Flavonoids	Flavonoid glycosides	Flavonoid O-glycosides	Flavonoid O-glycosides
109993	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Alpha amino acid esters
44340	Benzenoids	Benzene and substituted derivatives	unclassified	unclassified	Benzene and substituted derivatives
7225	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Glycosyl compounds	Glycosylamines
35367	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Amino acids and derivatives
23729	Lipids and lipid-like molecules	Fatty Acyls	Fatty amides	N-acyl amines	N-acyl amines
61034	Lignans, neolignans and related compounds	Lignan glycosides	unclassified	unclassified	Lignan glycosides
34478	Lipids and lipid-like molecules	Prenol lipids	Terpene glycosides	unclassified	Terpene glycosides
36706	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	Benzoic acid esters	Benzoic acid esters
88618	Benzenoids	Phenol ethers	Anisoles	unclassified	Anisoles
13311	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	Benzoic acids	Benzoic acids
55092	Phenylpropanoids and polyketides	Flavonoids	Flavonoid glycosides	Flavonoid O-glycosides	Flavonoid-3-O-glycosides
105514	Benzenoids	Phenols	Benzenediols	Catechols	Catechols
13093	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Glycosyl compounds	O-glycosyl compounds
13021	Benzenoids	unclassified	unclassified	unclassified	Benzenoids
30276	Phenylpropanoids and polyketides	Cinnamic acids and derivatives	Hydroxycinnamic acids and derivatives	Coumaric acids and derivatives	Coumaric acids and derivatives
221691	Phenylpropanoids and polyketides	Tannins	unclassified	unclassified	Tannins
165181	Phenylpropanoids and polyketides	Flavonoids	Flavonoid glycosides	Flavonoid O-glycosides	Flavonoid-3-O-glycosides
136267	Phenylpropanoids and polyketides	Tannins	unclassified	unclassified	Tannins
